D.O.,PH,CONDUCTIVITY,B.O.D.,NITRATE N+ NITRITEN,FECAL COLIFORM,TOTAL COLIFORM
4.8,7.6,1090,22,3.6,30500,52500
5.5,7.3,705,10,5,2020,5433
5.1,7.4,1375,23.7,5.9,27333,50333
5.5,7.4,745,10,6.1,12167,29333
5,7.6,975,16.3,6.1,11167,21667
4.9,7.7,1385,27.5,7.7,42500,72000
5,7.3,1067,19.3,6.2,21467,39533
5.3,7.2,970,13.3,5.9,3167,7133
4.9,7.7,1418,21,4.2,28000,49500
4.1,7.5,1015,23,6.1,35000,57500
4.8,7.4,854,17,4.7,20500,38000
,8.2,,19.8,0,,
,7.9,,18.2,0,,
4,6.8,370,3,0.8,4,9
7.8,7.8,376,1.3,0.4,9,17
7.7,7.7,354,1.3,0.3,12,22
7.6,7.9,344,1.6,0.4,12,22
,7.2,,88,0,,
4.4,7.1,694,41,1.2,92,224
5.9,8,401,0.9,0.7,4,15
6,7.2,106,0.8,0.4,4,15
5.6,7.9,326,1.1,0.8,4,4
6.2,8.1,592,1,0.7,4,6
7.2,7.5,119,2.3,3.8,33,74
7.2,7.5,120,2.3,4.1,31,67
7.5,7.3,82,1.8,2.8,30,70
7.5,7.5,111,2.4,3,293,506
5.3,3.3,831,7.7,3.2,18,36
7.2,7.2,56,1.7,2.6,21,42
7.5,7.2,66,1.6,2.5,22,44
7.8,7,74,2.3,4.3,28,108
6.7,2.7,1350,3.3,1.1,7,16
7.3,6.6,274,2.5,2.4,176,386
7.4,7.3,67,1.8,2.5,25,55
7.2,7.4,82,2,2.8,26,61
7.3,7.1,55,1.9,2.5,24,53
7.3,7.1,57,2,2.4,24,50
6.6,7.1,114,2.6,2.8,2142,3108
7.3,5.6,56,1.8,2.1,16,34
5.1,7,105,3.6,4.7,351,780
7.3,7.1,51,1.6,2.4,19,40
7.7,7.2,50,1.6,2,19,36
7.6,7.3,115,2.1,3.7,301,528
6.2,7,81,2.4,5.1,36,79
7.2,7.1,66,1.9,3.4,28,63
7.4,7.1,57,1.5,2.9,13,40
7.5,7.4,144,1.7,3.5,26,59
7.1,7.1,63,1.9,5.6,22,48
7.3,7.2,65,1.9,3.3,24,48
7.3,7.3,65,2,3,25,54
1.5,6.9,345,33.9,16.9,23232,34251
3.9,7.1,233,17,10.5,13174,22223
1,7.2,376,57.2,20.3,48665,83554
0.9,7.2,506,61.1,19.6,64250,106333
7.2,7,66,1.9,3.7,28,60
7.7,7.2,62,1.6,3,27,59
7.3,6.9,61,2.2,2,25,52
1.2,7.1,380,45.7,15.6,51583,94083
3.2,7.1,258,23.5,10.3,31833,54083
7.2,7.2,124,6.9,4.5,348,552
7.2,7.1,65,2.1,2.4,56,120
7.5,7.3,64,1.9,3.3,21,42
7.6,7.3,65,1.9,3.8,21,43
7.1,7.3,269,1.4,0.1,,115
7.2,7.3,275,1.5,0.1,4,68
6.9,7.1,186,1.6,0.1,,29
6.8,7.1,201,1.4,0.2,,86
6.2,7.8,165,2.1,0,282,340
6.4,7.8,158,4.1,0.5,458,500
6.6,7.9,210,4.2,1.9,510,572
,0,208,,,,
7.3,7.9,693,0.5,1,161,173
5,7.6,1676,1.8,8,329,174
,0,506,,6,26,227
6,7.7,1863,8.6,1,47,1183
,,24300,,7,22474,24
5.3,7.8,817,2.8,1,9,23
4.3,7.8,2307,103.8,1.23,,1817
4.5,8.3,1287,1.5,11,116,5
,,,,0,,2
6.8,8.2,1862,2.5,0.87,7,64
5,8,,0.7,0,,
3,7.7,,0.4,0,,
6.7,8.1,2520,7.2,1,6,41
8.2,8.4,606,2.9,0,,
,,,,,,
5.6,7.5,41,2,0.08,7022,13410
5.5,6.7,209,0.8,0.17,1893,2915
5.5,7.1,123,1.5,0.09,3293,6264
5.3,7.3,182,1.5,0.08,1976,3080
6,7.6,100,1.2,0.17,5129,6086
5.7,6.9,111,1,0.14,939,3061
6.4,7.1,140,1.1,0.1,4464,7908
6.2,7.8,44,2,0.06,9429,9320
6.1,7.6,43,1.8,0.06,6668,9554
7,6.9,64,1.1,0.09,1641,2841
6.6,6.5,62,1,0.14,4073,7190
7,6.8,304,2,0.49,12140,23867
7,7,55,1.2,0.66,1298,2813
6.3,7.6,213,1.5,0.06,3803,7069
6.7,6.8,83,1.2,0.17,2140,3559
7.1,6.6,76,1,0.12,2367,3527
6.7,6.6,107,1.3,0.22,2461,3757
7.2,6.7,89,0.9,0.06,832,1996
4.2,6.7,192,2,0.16,4448,9286
6.3,6.6,79,1.6,0.19,2830,6054
5.6,7.7,142,1.7,0.14,1831,3644
2.8,6.4,424,3.2,0.35,12658,21036
5.2,7.1,306,2.6,0.34,1411,1525
5.6,7.7,40,1.5,0.07,4153,7130
5.5,7.7,40,1.5,0.08,7086,12282
6.9,6.7,63,0.9,0.21,691,1132
6.3,7.6,227,1.7,0.08,3622,3612
7.1,6.6,68,1.1,0.13,4124,8167
6.9,7.7,121,3.3,1,77,163
7.2,8.2,112,3.3,1,39,94
6.9,7.7,103,3.7,0.57,48,103
6.9,7.6,104,3.5,0.75,37,79
6.4,7.4,1003,4.3,2.89,524,753
6.3,8.3,408,2.7,1.58,64,157
6.7,7.8,105,3.6,1,43,89
6.3,7.6,209,4.4,1.86,48,98
5.9,7.6,13768,5,1.79,166,300
7.3,7.7,86,3.2,1,50,93
3.6,7.4,6487,30.5,1.5,534,745
6.3,8.3,999,3.3,1.78,4,112
7.2,7.7,125,3.3,1,39,89
7.1,7.5,127,3.4,4.4,17,63
7.1,7.4,5300,38,1,388,667
7.2,7.6,127,3.2,1,22,51
7,7.6,126,3.3,1,20,63
7.2,7.6,126,3.4,1.89,29,64
7.1,7.8,112,3.2,0.63,43,88
6.8,7.7,9590,3.6,4.57,3,124
6.8,7.4,174,3.7,2.26,4,124
6.8,7.6,2572,3.3,4.22,4,118
6.7,7.8,6030,4.4,4.78,4,138
6.8,7.7,7207,3.9,4.25,3,120
6.8,8.1,167,3.8,1,32,85
6.8,8,173,3.5,1,53,98
7,8,168,3.6,1,44,83
6.9,7.9,131,3.5,0.75,41,96
7,7.6,125,3.5,0.6,33,63
7.2,7.5,132,3.3,0.9,38,88
7.2,7.7,119,3.3,1,35,68
6.9,7.5,159,2.8,1,3,82
6.7,7.7,141,3.3,3,4,90
7.3,7.7,132,2.9,2,3,88
6.4,7.3,76,1.7,0.62,199,788
6,7.1,85,1.7,0.53,262,538
6.3,7.1,69,1.3,0.57,248,593
6.5,7.3,76,1.6,0.55,226,545
6.7,6.6,60,1.2,0.34,228,435
7,6.6,3544,1.5,0.37,208,435
6.7,7.3,51,0.8,0.35,547,1567
6.9,7.7,107,0.7,0.46,255,443
6.7,7.9,173,0.9,0.56,191,426
5.6,6.9,126,1.2,0.67,266,990
7.3,7.4,70,0.8,0.31,2984,4208
6.9,7.4,12754,0.8,0.29,1807,2557
7.1,7.4,80,0.6,0.5,1921,2831
7.2,6.9,62,1.3,0.11,33,150
3.4,6.7,2965,2.3,1.11,271,1236
6.1,7.2,15871,0.9,0.25,1667,2975
6.4,7.2,120,1.9,0.77,258,618
6.2,7.2,7448,2,1.01,184,483
6.6,6.9,77,1.6,0.29,264,756
6.8,7,72,1.7,0.2,249,785
2.9,6.7,305,2.2,1.28,403,1623
3,6.6,86,2,0.39,357,1319
6.7,7.1,79,1.6,0.34,313,738
3.6,7.3,32790,2.6,0.59,64259,112867
6.1,7.8,2905,1.3,0.54,422,997
6.9,7.4,112,0.5,0.35,50,67
7,6.9,51,1.1,0.18,44,317
3.1,7.2,1416,13.2,4.41,2992,19917
7,7.1,30,0.5,0.32,211,496
6.1,7,59,1.8,0.58,89,282
6,6.4,61,2.1,0.28,87,300
6.3,7,105,2.8,0.37,142,543
6.9,8.1,502,0.9,0.72,382,615
5.9,6.7,14662,1.5,0.52,144,377
7.8,6.8,49,1.4,0.3,122,319
7.1,7.4,380,1,0.14,1527,66382
7.3,7.2,67,0.9,0.38,6490,3471
6.2,7.2,51,0.8,0.23,331,942
7.2,6.8,69,1.2,0.45,706,941
6.9,6.7,75,2.5,0.4,526,701
6.3,7.4,113,0.6,0.88,98,128
7.6,6.8,79,1.6,0.31,48,109
7,7.2,57,0.6,0.46,2117,3558
5.9,7,22576,1.5,0.35,42,253
6.8,7.2,105,0.6,0.39,1200,2392
6.3,6.7,2315,1.3,0.17,55,278
6.4,6.9,18569,1,0.27,40,277
6.6,7.3,45,0.6,0.39,228,940
6.9,7.2,42,0.5,0.18,151,774
6,7.3,92,1.7,0.56,256,597
6.1,7.2,59,0.7,1.04,181,311
4.5,6.9,1190,0.7,1.17,218,388
4.2,7,69,0.6,1.04,240,420
6,7,5569,2.2,0.68,473,1894
7.3,7,34,1,0.27,234,927
6.3,7,44,1.6,0.32,487,1876
6.4,7.2,49,1.4,0.23,362,1357
5.9,7,3272,2.2,0.62,330,1284
4.6,7,65,1.7,0.28,631,1937
6.5,6.9,4650,2,1,340,1573
6.5,7,42,1.4,1,249,1221
6.4,6.4,45,1.2,1,142,376
6,6.1,56,1.2,0,136,438
5.3,6.8,99,2.8,0.79,106,523
3.6,6.5,22131,1.8,0.95,105,261
6.9,6.7,66,1.8,0,93,205
6,6.6,67,1.5,3.69,168,398
4.9,6.8,9107,1.6,1,208,614
6.3,7,18931,1.4,1,34,201
6.6,6.8,15525,1.1,0.06,149,347
7.1,7.5,46,0.8,1,239,1097
6,7.3,432,1.2,3,3,78
6.1,7.7,328,1.2,1,3,211
5.8,7.8,707,0.6,0.85,2,1100
6.1,8,674,0.9,1,2,1260
7.3,7.3,164,2.3,1,115,336
7.6,7.4,122,2.4,1,223,834
6.5,7.1,95,1,0,156,212
6.5,7.1,56,1,0,30,79
7.5,7.8,237,1.4,0.89,8281,18918
7.6,7.6,3688,2.3,2.66,19264,32918
7.3,7.5,82,1.2,1.58,15816,17512
7.5,8,202,1.4,1.89,11771,23191
7.3,7.9,232,2.9,2.23,9026,30836
7.4,7.9,246,2.3,1.9,1850,3900
6.9,8.1,3960,2,2.26,19058,22523
7,8,28222,1.8,2.54,16613,10469
7.2,7.8,201,1.3,1.59,29937,31034
7.3,8,221,1.2,2.26,16103,5289
,7.8,,1,1,,
8,7.7,401,,1,,
8,8.2,1886,4,1,,
7,8.2,742,5,1,,
7,6.4,149,4,1,,
6.7,7.5,1088,1.7,0,194,474
7.2,6.5,73,3.1,0,19,59
6.7,6.3,98,3.3,1.5,21,74
6.3,6.5,143,4,4,38,124
6.6,6.9,260,5.4,1,17,53
7.1,6.3,71,3.5,1,24,82
6.9,6.3,65,3.5,0,17,52
7.3,7.1,607,3.6,0.88,33,104
6.1,7,446,5.2,0.56,26,77
6.9,6.4,94,3.2,1.59,20,65
6.8,6.8,451,9.4,0.55,22,58
6,6.6,169,3.9,2,22,84
6.5,6.7,187,3.3,3,32,113
3.4,7.8,2577,164.9,1.5,148825783,160405392
,,,,,,
5.5,7.2,636,9.7,4,1328,4975
4.7,7.3,1088,23.8,4,28250,56000
5.3,7.2,689,11.3,4,1350,6025
4.9,7.3,1267,23.5,3,24750,54250
5.3,7.4,852,13,4,13775,26750
4.9,7.5,977,16.5,5,12375,30500
4.4,7.4,1256,24.8,6,25250,55250
4.8,7.2,1021,20.3,4,22875,43700
5.1,7.3,971,14.8,5,2125,8425
4.6,7.4,1284,24.3,4,21500,50000
4,7.4,1096,26,3,31750,57500
4.4,7.3,1002,21.5,4,21000,43750
,6.9,910,13,0,,
,6.5,930,15,0,,
5,7.3,,33.9,0,,
,6.7,960,18,0,,
4.8,7.6,295,0.8,0,4,9
7.1,7.5,293,1.3,0,9,19
7.1,7.5,316,1.4,0,13,22
6.6,7.5,274,1.6,0,14,24
4.9,7.4,407,16.3,0,51,120
4.9,8.3,603,1,0,4,5
5.5,7.4,138,0.8,0,4,6
5.5,8.1,625,1.1,0,4,6
5,7.3,305,1.7,0,4,12
5.6,8.1,552,1.1,0,4,6
7.3,7.3,402,2.1,0,4,32
7.2,7.3,99,2.2,1,26,57
7.2,7.4,102,2.2,1,25,56
7.6,7.2,72,1.8,2.56,24,57
7.1,7.5,131,2.2,3.2,239,413
5.2,2.9,682,7.8,1.5,16,30
7.3,7.1,47,1.3,2,15,48
7.6,7.2,52,1.2,2,16,36
8,6.9,64,1.8,3.38,23,49
7.9,7.3,46,1.4,1,12,29
7.4,7.2,53,1.9,3,14,32
7.7,7.2,55,1.6,3,15,63
6.8,2.7,1074,3.2,2.33,4,11
7.1,6.5,237,3.8,4.56,674,1072
7.8,7.2,50,1.6,1.77,20,41
7.3,7.3,71,2,2.66,21,47
7.3,7,91,1.8,3.3,20,45
7.4,7.1,49,1.7,2.44,19,42
6.5,7.1,99,2.7,3.56,1967,2722
7.5,5.7,50,1.5,2.21,10,23
5.8,6.9,68,3.1,4.9,197,463
6.9,7.2,44,1.4,2.66,14,33
7.8,7.3,93,1.9,2.99,264,444
6.6,7,66,2.3,4,29,63
7.6,7.1,53,1.7,3,23,53
7.8,7,47,1.4,2,8,35
7.7,7.4,128,1.6,3.32,25,56
7.1,7,54,1.8,2.58,20,43
7.4,7,69,1.6,3.3,17,87
7.5,7.2,58,1.6,2.25,21,46
3.1,7.2,401,21.8,19,22556,31444
4.7,7.2,202,13.6,15,13444,20056
2.1,7.2,303,37.2,18.2,39444,62333
1.8,7.2,394,40.6,15.4,57222,96944
7.2,6.9,55,1.7,3.04,26,56
7.9,7.1,55,1.2,3.55,23,50
6.9,6.9,52,2.2,3.48,1576,45
1.9,7,306,34.2,17.9,48278,85667
4.5,7.1,196,15.5,11,48611,43333
7.2,7.1,107,6.7,5.56,303,476
7.5,7,82,2.1,3.02,45,122
7.1,7.5,189,1.9,1,,
7,7.6,197,1.8,1,,
7.2,7.9,158,1.9,0.95,,
6.5,7.8,161,1.8,0.99,,
6.6,7.7,165,1.7,0,280,325
6.7,7.8,167,4.8,1,440,520
6.6,7.7,183,3.7,1.55,415,575
7.1,7.8,151,8,0.08, , 
7.2,7.4,319,0.7,0.18,5,10
6.2,8.4,894,9,0.38,140,350
2.2,8,1835,17.9,0.86,10478,25478
2,7.7,3165,32.3,3.44,11498,15173
2.4,7.6,1500,6.2,1.31,3,13
5.9,7.2,52,2.1,0.08, ,90
6.1,6.8,408,1.3,0.17,1300,3808
5.5,6.9,143,1.3,0.09,4100,11113
5.4,7.2,60,1.5,0.08,428,2309
5.8,7.2,34,5.3,0.17,855,3322
5.9,6.7,125,1.5,0.14,1638,5793
6.4,6.7,175,1.3,0.1,772,3636
6.2,7.7,39,1.3,0.06,1296,4517
6.1,7.8,39,1.5,0.06,1032,5840
7.3,6.9,61,0.7,0.09,1430,4388
6.8,6.6,71,1.5,0.14,2495,3949
7.4,6.5,129,2.3,0.49,5868,16691
7,6.8,503,1.6,0.66,965,2404
6.3,7.5,31,1.6,0.06,1466,4267
7.1,6.8,70,0.8,0.17,716,3567
7.3,6.8,69,1.2,0.12,457,2446
6.7,6.6,118,1,0.22,1104,3496
7.4,6.8,80,1.3,0.06,274,1404
4.5,6.6,250,2.4,0.16,1572,5889
6.1,6.9,74,1.8,0.19,1074,3937
5.9,7.3,44,1.6,0.14,962,2794
2.4,6.5,195,4.8,0.35,7980,14217
4,6.8,207,1.8,0.34,818,2280
5.4,7.6,40,1.6,0.07,290,1330
5.3,7.6,41,1.4,0.08,952,2517
7,6.9,54,0.8,0.21,667,3059
5.9,7.7,44,2.1,0.08,1200,831
7.1,6.5,60,1.7,0.13,2926,8163
6.9,7.7,99,3.3,0.56,53,123
6.6,7.9,123,3.2,0.52,44,104
6.6,7.7,220,3.6,0.65,25,77
6.8,7.7,219,3.4,0.63,23,75
4.8,7.2,5429,8.4,2.08,177,408
6.4,8,493,4.2,3.91,17,68
6.8,7.6,100,3,0.54,124,295
6.7,7.5,316,4.6,0.6,47,132
5.8,7.9,37227,9.5,1.42,231,451
6.9,7.7,84,3.1,0.42,69,168
4.9,7.6,21254,55.5,2.18,560,964
6.9,7.9,312,2.7,1.58,4,107
6.8,7.5,146,3,0.6,124,241
6.7,7.3,127,2.9,0.59,100,209
5.6,6.9,432,4.5,1.72,58,173
6.5,7.3,126,3,0.59,132,284
7.1,7.5,128,3,0.6,136,297
6.4,7.3,129,3.1,0.6,68,191
6.9,7.7,129,2.9,0.55,135,268
7,7.9,153,2.9,0.55,30,86
6.4,7.6,10165,3.7,2.14,5,139
6.9,7.7,307,2.8,3.6,4,123
6.3,7.7,322,3.5,1.1,4,116
6.5,7.5,5835,3.4,1.72,4,126
6.3,7.4,9245,4.7,2,4,134
6.5,8.1,1907,4,0.55,46,115
7,8,1896,3.5,0.64,190,245
7,8,206,2.9,0.56,31,74
6.8,7.8,239,3.3,0.56,33,77
6.4,7.6,152,3.2,0.96,62,142
6.7,7.7,146,3,0.89,30,73
6.7,7.6,137,2.9,0.76,24,64
6.6,7.8,228,3.5,0.57,30,79
7,7.7,409,2.4,0.93,4,112
6.8,7.6,263,2.9,0.81,4,123
6.9,7.5,338,2.3,3.93,4,108
7,7.2,79,0.8,0.62,279,637
6.6,7,67,1.1,0.53,275,670
6.6,7.3,59,0.7,0.57,281,541
6.2,7.3,66,0.8,0.55,303,609
7.1,7,67,1,0.34,170,538
7,6.7,5341,1.1,0.37,158,528
6.7,7.3,89,1.1,0.35,1163,2025
6.2,7.3,136,1,0.46,296,676
7.1,8.1,212,0.9,0.56,524,992
6.3,6.3,134,1.2,0.67,224,780
7.3,7.2,76,0.6,0.31,468,893
7,7.3,11041,0.9,0.29,256,503
6.8,7.1,75,0.8,0.5,693,1169
7.4,7.2,61,0.7,0.11,54,255
1.7,6.6,769,3.4,1.11,556,1717
6.1,7.5,14083,1.4,0.25,920,2686
6.6,7.2,92,0.8,0.77,332,660
6.6,7.2,1348,0.8,1.01,392,810
6,6.7,95,1.2,0.29,253,680
6.6,6.8,78,1,0.2,275,626
0.6,6.7,268,4.1,1.28,400,1308
1.8,6.6,82,2,0.39,399,1410
7.1,7.2,61,1,0.34,251,608
3.9,7.6,30298,2.5,0.59,4830,7240
6.6,8,310,1.1,0.54,517,783
7,7.1,97,0.8,0.35,45,77
7.3,7,51,0.7,0.18,65,258
0.5,7.1,1717,21.2,4.41,3317,15833
7,7.4,55,0.9,0.32,800,1400
6.1,6.8,67,1.1,0.58,80,394
7,6.7,61,1.3,0.28,168,248
5.2,6.9,81,1.5,0.37,71,465
6.1,8,510,1.1,0.72,784,1572
6.5,6.9,12150,1.8,0.52,711,1481
7.9,7.2,50,1.1,0.3,319,845
7.5,6.9,34,0.9,0.14,110,256
7,7.4,72,1,0.38,496,897
7.3,7.3,99,0.9,0.23,1088,1788
7.5,6.9,125,1.6,0.45,970,1400
6.8,6.9,116,1.7,0.4,825,1260
5.8,7.3,107,0.9,0.88,232,343
7.1,7.2,85,0.8,0.31,67,184
6.8,7.1,58,0.7,0.46,2010,3460
5.7,7.3,13197,1.5,0.35,46,144
6.7,7.1,58,1.2,0.39,964,1739
7,6.9,3453,0.9,0.17,56,278
6.5,7,14369,1.3,0.27,63,175
6.6,7.3,70,1.4,0.39,838,1875
7,7.3,60,0.8,0.18,631,1813
6.3,7.2,97,0.8,0.56,357,880
6,7,63,1.1,1.04,243,493
4.4,7.1,113,1.5,1.17,358,722
4.5,7.2,79,1,1.04,279,537
5.1,6.9,1789,2.1,0.68,408,1946
7.5,7.2,36,1.1,0.27,282,1134
6.8,7,59,1.3,0.32,648,2267
6.8,6.9,114,1.4,0.23,388,1785
5.9,6.8,1108,2.2,0.62,386,1520
4.9,6.7,88,2.2,0.28,480,2200
6.8,6.9,1686,1.4,0.25,236,1223
7.1,6.9,45,1.2,0.29,451,1636
6.9,6.6,56,1.1,0.3,177,542
6.5,6.3,49,1,0.22,87,323
4.9,6.6,169,2.1,0.76,250,1241
4.2,6.5,19575,1.4,0.39,210,528
6.9,7.1,63,0.9,0.16,152,336
6.6,6.7,69,0.8,0.38,185,464
4.5,6.6,6381,2.1,0.34,196,435
6.2,7.2,9326,1.3,0.22,61,141
6.6,7.1,15158,1.1,0.26,126,810
6.3,7.3,74,1.2,0.29,725,1813
