iter	Passed	Remaining
420	2326	14254
421	2332	14249
422	2338	14245
423	2343	14238
424	2349	14232
425	2354	14225
426	2359	14215
427	2364	14211
428	2370	14206
429	2376	14206
430	2382	14201
431	2387	14193
432	2392	14185
433	2398	14178
434	2403	14172
435	2408	14164
436	2414	14158
437	2419	14152
438	2424	14144
439	2430	14139
440	2435	14134
441	2441	14131
442	2447	14129
443	2453	14125
444	2459	14119
445	2464	14115
446	2470	14108
447	2475	14102
448	2481	14098
449	2486	14091
450	2492	14086
451	2497	14079
452	2503	14073
453	2508	14068
454	2514	14064
455	2519	14058
456	2525	14054
457	2531	14047
458	2536	14041
459	2541	14035
460	2546	14026
461	2551	14019
462	2557	14011
463	2561	14001
464	2567	13994
465	2571	13985
466	2576	13975
467	2581	13967
468	2586	13959
469	2592	13954
470	2597	13946
471	2602	13939
472	2608	13933
473	2613	13927
474	2618	13921
475	2624	13916
476	2629	13908
477	2634	13901
478	2639	13893
479	2644	13885
480	2649	13877
481	2655	13871
482	2660	13865
483	2666	13859
484	2671	13852
485	2676	13846
486	2680	13834
487	2686	13827
488	2691	13820
489	2696	13814
490	2702	13808
491	2707	13803
492	2713	13799
493	2718	13791
494	2723	13782
495	2728	13776
496	2734	13770
497	2740	13766
498	2745	13761
499	2751	13757
500	2756	13751
501	2763	13751
502	2770	13752
503	2776	13752
504	2783	13753
505	2789	13749
506	2795	13744
507	2801	13740
508	2806	13735
509	2811	13727
510	2816	13720
511	2822	13714
512	2827	13708
513	2832	13700
514	2838	13694
515	2843	13688
516	2848	13681
517	2853	13674
518	2859	13669
519	2865	13665
520	2871	13661
521	2876	13655
522	2881	13649
523	2888	13646
524	2894	13643
525	2899	13638
526	2905	13636
527	2912	13637
528	2918	13634
529	2925	13634
530	2932	13633
531	2938	13632
532	2944	13630
533	2950	13625
534	2956	13623
535	2963	13622
536	2969	13621
537	2976	13620
538	2983	13621
539	2989	13618
540	2995	13614
541	3002	13614
542	3008	13612
543	3014	13609
544	3020	13606
545	3026	13604
546	3033	13601
547	3038	13597
548	3045	13595
549	3051	13593
550	3057	13588
551	3063	13587
552	3070	13584
553	3076	13583
554	3082	13580
555	3088	13575
556	3094	13572
557	3100	13567
558	3106	13564
559	3112	13562
560	3118	13559
561	3125	13557
562	3131	13553
563	3136	13547
564	3142	13544
565	3148	13539
566	3154	13534
567	3160	13531
568	3165	13525
569	3171	13520
570	3176	13513
571	3181	13506
572	3187	13501
573	3193	13495
574	3198	13487
575	3203	13480
576	3208	13473
577	3213	13466
578	3219	13460
579	3224	13454
580	3229	13447
581	3235	13440
582	3240	13434
583	3245	13427
584	3250	13420
585	3255	13412
586	3261	13406
587	3266	13401
588	3272	13394
589	3277	13386
590	3282	13380
591	3288	13374
592	3293	13369
593	3298	13362
594	3304	13357
595	3309	13350
596	3315	13343
597	3320	13337
598	3325	13330
599	3330	13323
600	3336	13318
601	3342	13312
602	3347	13304
603	3352	13298
604	3357	13291
605	3362	13285
606	3368	13280
607	3374	13274
608	3379	13267
609	3384	13260
610	3389	13253
611	3395	13247
612	3400	13242
613	3405	13235
614	3411	13228
615	3416	13222
616	3422	13218
617	3428	13215
618	3433	13207
619	3439	13202
620	3444	13196
621	3449	13189
622	3455	13183
623	3461	13178
624	3466	13173
625	3472	13169
626	3478	13165
627	3484	13161
628	3490	13156
629	3495	13149
630	3501	13144
631	3506	13138
632	3512	13133
633	3518	13128
634	3523	13123
635	3528	13116
636	3534	13112
637	3539	13105
638	3545	13098
639	3550	13093
640	3557	13090
641	3563	13087
642	3569	13083
643	3574	13078
644	3580	13073
645	3585	13066
646	3590	13058
647	3596	13053
648	3601	13048
649	3607	13043
650	3613	13038
651	3618	13032
652	3624	13026
653	3629	13019
654	3634	13012
655	3639	13005
656	3645	13000
657	3650	12993
658	3655	12986
659	3660	12978
660	3666	12972
661	3671	12966
662	3676	12960
663	3681	12953
664	3687	12949
665	3692	12940
666	3697	12933
667	3702	12926
668	3708	12920
669	3713	12912
670	3718	12907
671	3724	12901
672	3729	12896
673	3735	12891
674	3741	12886
675	3746	12881
676	3751	12872
677	3757	12867
678	3762	12861
679	3768	12855
680	3773	12848
681	3778	12843
682	3784	12837
683	3790	12832
684	3795	12825
685	3800	12819
686	3805	12813
687	3811	12808
688	3816	12802
689	3822	12796
690	3827	12788
691	3832	12782
692	3837	12775
693	3842	12768
694	3848	12762
695	3853	12757
696	3859	12752
697	3864	12745
698	3869	12738
699	3875	12733
700	3880	12727
701	3885	12720
702	3891	12714
703	3896	12707
704	3901	12701
705	3906	12694
706	3912	12688
707	3917	12682
708	3923	12676
709	3928	12670
710	3933	12665
711	3939	12659
712	3944	12652
713	3949	12645
714	3955	12639
715	3960	12634
716	3965	12627
717	3971	12622
718	3976	12616
719	3982	12611
720	3987	12605
721	3993	12598
722	3998	12592
723	4004	12588
724	4009	12582
725	4015	12576
726	4020	12569
727	4025	12564
728	4031	12558
729	4037	12554
730	4043	12549
731	4049	12545
732	4054	12538
733	4059	12531
734	4064	12525
735	4070	12519
736	4075	12514
737	4081	12509
738	4086	12503
739	4092	12498
740	4097	12492
741	4104	12489
742	4110	12485
743	4116	12480
744	4121	12474
745	4127	12470
746	4133	12465
747	4138	12460
748	4144	12455
749	4149	12449
750	4155	12445
751	4161	12440
752	4167	12435
753	4173	12430
754	4178	12425
755	4184	12420
756	4190	12415
757	4195	12409
758	4201	12404
759	4206	12398
760	4212	12394
761	4218	12388
762	4223	12382
763	4229	12377
764	4234	12371
765	4239	12364
766	4244	12357
767	4249	12350
768	4255	12346
769	4260	12339
770	4266	12333
771	4271	12327
772	4277	12322
773	4283	12318
774	4288	12311
775	4294	12307
776	4299	12301
777	4305	12296
778	4311	12291
779	4316	12286
780	4322	12280
781	4327	12275
782	4333	12270
783	4339	12264
784	4344	12259
785	4350	12254
786	4356	12250
787	4362	12244
788	4367	12238
789	4373	12234
790	4379	12229
791	4384	12224
792	4390	12219
793	4396	12213
794	4401	12208
795	4407	12202
796	4412	12196
797	4417	12190
798	4422	12181
